,p=1,p=2,p=4,p=6,p=12
h1,0.5157730185166653,0.48414507587086375,0.47908889010149264,0.5195989899689638,0.6462346497672823
h4,0.5533122809008699,0.5666939246642204,0.5846506461924431,0.6105800207653559,0.7076780153822041
h8,0.5984835038434198,0.6157491375871701,0.6492574292843786,0.6738315803881644,0.7205043600151362
