,h1,h4,h8
1999-12-01,0.5499174659096898,0.2437969413172222,0.3222896490017473
2000-01-01,0.3292534898216083,0.21489296028594393,0.3379065417963758
2000-02-01,0.28772685822491084,0.29091010307810417,0.20466859621489125
2000-03-01,0.2929223423646509,0.22520718335084233,0.273557957150751
2000-04-01,0.22344539143699457,0.4065444082599975,0.06634063155250365
2000-05-01,0.37254493413579387,0.26604785589750823,0.12877910429842832
2000-06-01,0.2527305740085513,0.22900722876603685,0.4367790368417036
2000-07-01,0.21216577859964453,0.2566374297381443,0.17709537886022023
2000-08-01,-0.002688135624409724,0.18867590256775854,0.09574548186432763
2000-09-01,0.2602652857373918,0.3540171761448561,0.19161345502472024
2000-10-01,-0.0004486404324248938,0.19973836865647818,0.1892936563113446
2000-11-01,0.28572556826988077,0.11238520227887347,0.170480139021029
2000-12-01,-0.07674180119509796,0.19624305714315793,0.296814120880041
2001-01-01,-0.05950978482501602,0.2983325418128583,0.3603719539645184
2001-02-01,-0.16743101521831696,0.14671044989371987,0.2956487713754895
2001-03-01,-0.025797428778125804,0.3752449230638717,0.22644532238694776
2001-04-01,-0.059368105529231066,0.37983006886516696,0.3688400331007302
2001-05-01,0.07647828418215702,0.22406467903385072,0.5277693335962274
2001-06-01,0.016374487126834713,0.12691813138239566,0.45614470813762803
2001-07-01,-0.06972376963680244,0.3034480216166723,0.11806790707409463
2001-08-01,0.06539246364006737,0.3517834513782781,0.20294691022815528
2001-09-01,-0.0831307268104762,0.12603591762498084,0.48119646988891385
2001-10-01,-0.06340764742788711,0.2103959325501097,0.25102509915839916
2001-11-01,-0.02884099957616202,0.1260832779653043,0.277019608548062
2001-12-01,0.05271687273989839,0.37974698140292373,0.32246168100994127
2002-01-01,0.5279775081818885,0.3381947820681926,0.5042987184391932
2002-02-01,0.22947208094366792,-0.03021936073182318,0.5447042280958878
2002-03-01,0.5593350649700349,0.2606890695985515,0.4247165945459475
2002-04-01,0.3415373558161209,0.22460187074413354,0.4432112669637526
2002-05-01,0.2872900179641449,0.356481262879689,0.20511695718721398
2002-06-01,0.47979414145765903,0.39840013969034954,0.23443926595044245
2002-07-01,0.1872674166986615,0.32588924639560446,0.26455124302852606
2002-08-01,0.20865606024008787,0.30735710237508085,0.33086477363641476
2002-09-01,0.15828706370604145,0.2829571683018065,0.23000707491088548
2002-10-01,0.0027974225953294324,0.2382345345764177,0.17624360531211264
2002-11-01,0.25203161170524874,0.3542013270679105,0.2751175432688716
2002-12-01,-0.0018695861739618245,0.1525275774585982,0.22425293335194413
2003-01-01,0.46974904760494823,0.2764492726957712,0.3812498185557441
2003-02-01,0.2660415631098745,0.1460089813281602,0.41715099822847646
2003-03-01,0.08410627464463713,0.21965340961126803,0.26742425564920314
2003-04-01,-0.07746529326482043,0.3596740136595723,-0.025443772690062448
2003-05-01,0.04322653350421629,0.5123336502869267,-0.04100491646131016
2003-06-01,0.16376729149802108,0.22666407615580206,0.2866150570009106
2003-07-01,0.42392737633938515,0.0030971304188167547,0.47401532150003967
2003-08-01,0.1764032343989364,-0.11049126707572031,0.47650218722682075
2003-09-01,0.36263874116613515,0.30238157907159663,0.28747833517333055
2003-10-01,0.13346216163304062,0.36911129270006476,0.10831988192786962
2003-11-01,0.42029556059493484,0.41375799486960807,0.15919906160305491
2003-12-01,0.2750484698701961,0.21511870159881702,0.3638897605245723
2004-01-01,0.2883242376349817,0.21908420270123855,0.37746609816900906
2004-02-01,0.32485843600425546,0.25207517058489365,0.29303377127396374
2004-03-01,0.03827274581111556,0.21019105712728678,0.16756006387163824
2004-04-01,0.2822461619924693,0.3664818857802858,0.19518743186659107
2004-05-01,0.4304510021521612,0.30688911432269667,0.26917754898084395
2004-06-01,-0.00965671409865294,0.003996119392630647,0.25239241025551246
2004-07-01,0.42693347565411044,0.33225806490202703,0.1915382117394178
2004-08-01,0.11693521101323466,0.2779621602502389,0.03325103642013065
2004-09-01,0.26094853893472864,0.20180355111753917,0.193454685676138
2004-10-01,0.5432031861813864,0.15138740017536179,0.36167224635226924
2004-11-01,0.2774533388826489,0.09890568356455841,0.2403169982431531
2004-12-01,0.4193732188454927,0.2780093108901621,0.16437203617817644
2005-01-01,0.32667188715906303,0.37216008266921075,0.03492797437445266
2005-02-01,0.4880384231555403,0.345075141523507,0.25170845473518005
2005-03-01,0.22646545757136793,0.11728557698791978,0.2891548057387076
2005-04-01,0.22851356532016964,0.19596416824728535,0.20527462016906844
2005-05-01,0.06217499267053257,0.3011145159615659,0.021467189262383883
2005-06-01,0.30280210030101057,0.3650183384271744,0.03282859295708836
2005-07-01,0.21085161253456028,0.029842518817788426,0.3201292321163518
2005-08-01,0.31238619355646147,0.128118531471595,0.32489095870779927
2005-09-01,-0.3947187154469536,-0.29737120976796555,0.36083758772400265
2005-10-01,0.12389425153161415,0.4146842599043076,-0.15100409152850627
2005-11-01,0.4140066349830067,0.3479243723268521,-0.4142178166819707
2005-12-01,0.4214159975065297,0.2636910225104121,0.16818704289304617
