,p=1,p=2,p=4,p=6,p=12
h1,0.42669903881302435,0.43070607041722986,0.448006791780549,0.4474023425278589,0.4369653530097262
h4,0.5239246489666731,0.522996213310207,0.5259017753678573,0.519593775632265,0.5087018350508306
h8,0.539961921869615,0.5380411096432985,0.5376860305947404,0.5267738514785995,0.5491146418400242
