,h1,h4,h8
1999-12-01,-0.6255923649213028,0.38722379460367307,-0.5879450477199815
2000-01-01,0.015085440195898747,0.0747614782613937,0.08424442217287198
2000-02-01,0.10235565156491333,-0.21873492185992272,-0.5739126481196848
2000-03-01,0.3380983935562443,-0.40224209469484073,-0.25153965596799305
2000-04-01,0.06620904711034306,-0.6721998069782317,-0.40654595832525037
2000-05-01,-0.3003697529176124,0.15610310807173955,-0.6226019075278773
2000-06-01,-0.4297654853525497,-0.5982512806708303,-1.0981129869803796
2000-07-01,-0.4778211773178787,-0.23461912855538636,-0.4256372708137778
2000-08-01,0.4248390995936575,-0.5288812293405053,-0.44789706508558835
2000-09-01,-0.6295093376421853,-0.847839979374305,-0.7194626091455499
2000-10-01,0.022466941615182832,-0.8610723187951543,-0.7220600854556936
2000-11-01,-0.6259308950426274,-0.3609270942324311,-0.7803706262404068
2000-12-01,-0.41708100203435094,-0.5483946403644187,-0.38448612112330727
2001-01-01,-0.6018241653136601,-0.826181695933688,-0.9025707170234171
2001-02-01,-0.08111087673524062,-0.6794768790380689,-0.6003700372090747
2001-03-01,-0.3263541544431349,-0.9851354102832495,-0.8153593404893411
2001-04-01,-0.4684810485915986,-0.4675020691084332,-0.40776165432476086
2001-05-01,-0.609244713326506,-0.7662634420927494,0.16599099227577863
2001-06-01,-0.6262649743462125,-0.4316393972159808,-0.46247521008072506
2001-07-01,-0.017948230606463833,-0.8923620397190656,0.6350427683443389
2001-08-01,-0.607591226698966,-0.39070507260230875,0.2718767348613952
2001-09-01,-0.22159053902310896,0.5677244082470252,-0.05319466880060697
2001-10-01,-0.5255063706745062,-0.21672643449320672,0.5671030951671856
2001-11-01,-0.010080621647868625,0.6270273974531293,-0.31011078828586064
2001-12-01,0.6410434531321076,0.0950766636866267,-0.42522441797868354
2002-01-01,-0.5343080101249855,0.08980701902011429,-0.40848652066406843
2002-02-01,0.5236385944747657,0.8483475550574079,-0.8081877410298364
2002-03-01,-0.0845114198804845,-0.2937802493363501,0.12235347337963381
2002-04-01,0.086464445272186,-0.3273646077128758,-0.9993526631924348
2002-05-01,0.5308381763614398,-0.2606690651045643,0.617132238923433
2002-06-01,-0.5128853211954576,-0.6618836526242982,-0.10986924116794256
2002-07-01,-0.2900301536674038,0.22118082152997687,-0.5387884428221293
2002-08-01,-0.11284386246496314,-0.8634984986037629,-0.9586512854832432
2002-09-01,-0.42177057663999,0.5392920278088406,-0.2644038134216856
2002-10-01,0.5442726453302519,-0.11366450979391779,-0.044030160862643275
2002-11-01,-0.8081730079339309,-0.6284385268615138,0.23979628349133886
2002-12-01,0.8241187822846089,-0.7803140893054267,-0.43725751052642453
2003-01-01,-0.34517902282244833,-0.31084601120657135,0.26494356908354927
2003-02-01,-0.5402787629034778,-0.01379553687869084,-0.28264154369694805
2003-03-01,-0.7118927864914656,0.29526041714894247,0.4095867285500746
2003-04-01,0.04306855475402027,-0.5726785908340527,0.07612209826467817
2003-05-01,0.08898691094525307,0.13385973735236667,0.207509019969424
2003-06-01,0.3511465352621894,-0.09215462162427365,0.3317656210964527
2003-07-01,-0.6369319535138656,0.673913853780461,-0.8652013649258016
2003-08-01,0.46979015324035694,0.16116959265033604,-0.0894066692833953
2003-09-01,-0.22812928663460674,-0.13587747556348279,0.4512629709142453
2003-10-01,0.5435488225662372,0.24926938539729854,-0.8800067828630564
2003-11-01,-0.3696172350203191,-0.80494403829537,0.5758297525271125
2003-12-01,-0.10854436636208226,0.17197681634460843,-0.2785175233255727
2004-01-01,0.3300564404623816,0.5196571033863373,-0.2651721409552153
2004-02-01,-0.7160444794300174,-1.0237620715200804,0.5929823655660207
2004-03-01,0.3488227721323099,0.5248377570028807,0.07746173573755255
2004-04-01,0.4564951440951065,-0.28110964858128623,0.5823601829565687
2004-05-01,-1.202137903087348,-0.1945951571089029,0.08292813294645102
2004-06-01,0.7446855282288205,0.8820200174473537,0.4671764609224322
2004-07-01,-0.3415612384551109,-0.08723626529283623,-0.3328814308496082
2004-08-01,-0.0046412537994409,0.4995854545729208,0.17413581943661977
2004-09-01,0.6250675979052558,0.1503021308097558,-0.09995023791973956
2004-10-01,-0.2981813865721956,0.5681814710025829,0.07490200485717358
2004-11-01,0.5000942759405108,-0.24024890267474885,-0.5584812767819659
2004-12-01,-0.06726753691819776,-0.07062245503341169,0.16418817827959728
2005-01-01,0.3928969840188816,-0.2786556349128123,-1.990977510202894
2005-02-01,-0.6293816422657308,0.09149910968593583,0.9633233798228424
2005-03-01,-0.019078601714617505,-0.43544985552673254,0.8044780764677668
2005-04-01,-0.1350091175637712,0.13259604621048837,0.2763251328186474
2005-05-01,0.37439925853891026,-2.2571640517900073,0.13631005123980433
2005-06-01,-0.6209663788398234,0.8500134961308481,0.009658329198938095
2005-07-01,0.11770860192321345,1.063790363388686,-0.09363340879309345
2005-08-01,-2.268435729384903,0.3534812215161208,-0.029265599743697024
2005-09-01,1.609750550004976,0.45514845027015377,-0.3357096682442522
2005-10-01,0.9697386306748603,-0.3721973377482811,0.48719121637299545
2005-11-01,0.06759311800470913,-0.12142854900359373,0.3488691966514121
2005-12-01,-0.2636387570043415,0.03193433645369015,0.26492224701371725
