,h1,h4,h8
1999-12-01,-0.4652868700501337,0.266503997349687,-1.4126195346162818
2000-01-01,-0.7083944402680447,0.29138582097498317,0.4315830647499851
2000-02-01,0.010003280139973814,-1.1706327187794912,-0.4494931782876967
2000-03-01,0.4694428667209264,-0.044545735612878196,-0.5549516586083688
2000-04-01,0.2616617720504256,-0.6880863498149776,-1.1000972185314688
2000-05-01,-0.5174098793103901,-0.2248319044913566,-0.7225643660721488
2000-06-01,-0.7912097996875974,-0.6799929317850626,-0.9525391818432339
2000-07-01,-0.8399490496957932,-0.31855569401426664,-0.5835202692200665
2000-08-01,0.07137893782238547,-1.0215564789947504,-0.7122245728194434
2000-09-01,-0.5290456203951469,-0.6898254090396787,-0.9013982775210128
2000-10-01,-0.3278833072847976,-1.1566184710559806,-1.2625331038629133
2000-11-01,-0.6622908561242877,-1.0267252006189085,-1.2056669455354205
2000-12-01,-0.6103238978844577,-0.5400814801812046,-0.3082808166659521
2001-01-01,-0.8545361146358169,-0.9298496708228525,-0.7023071645262751
2001-02-01,-0.5180468276713254,-0.7186496815313885,-0.5844568587161477
2001-03-01,-0.44513386704061497,-0.6588512683169507,-0.8184588426902253
2001-04-01,-0.40338228883810523,-0.30880599083000704,-0.3822571149741022
2001-05-01,-0.4374963672314591,-0.3329489495186372,0.5208324023037112
2001-06-01,-0.3960935367550904,-0.3355844367555819,-0.2405525547268837
2001-07-01,0.32218921384180127,-0.4341922980943987,0.8901556536948733
2001-08-01,0.002228296090919124,0.3025150035485769,0.6581671752373416
2001-09-01,-0.17871262591609766,0.836214158015206,0.4557422161657421
2001-10-01,-0.43892344390819754,-0.13581599728093396,0.7635496619882884
2001-11-01,-0.10925060490542414,1.2793658889186659,0.42276367345411064
2001-12-01,0.9152606284683432,0.25810530000131826,0.04011379781190569
2002-01-01,0.23637754390973642,0.7032776744699156,-0.13455839010670956
2002-02-01,0.924023141735143,0.33427759614155644,-0.5570546272915944
2002-03-01,0.04196210258604122,-0.4836032561903512,0.3877335786065258
2002-04-01,-0.32157885568082867,-0.4873189032818917,-1.0269613745745334
2002-05-01,0.08332826529325377,-0.5269198479527932,0.6330430657533531
2002-06-01,-0.27444494224495164,-0.5503231194407263,-0.20442049473824703
2002-07-01,-0.20945619453993497,0.3099241341545665,-0.8618412411828676
2002-08-01,-0.2545841528777868,-0.8495881898961781,-0.7370418847379754
2002-09-01,-0.5191861747385942,0.6637464125518118,-0.12647475855111473
2002-10-01,0.39299697890884877,0.012591237391158222,-0.10347576498534183
2002-11-01,-0.42843861847770237,-0.5015125236382081,0.41518815561599043
2002-12-01,0.7601911131496935,-0.711800933096131,-0.46478546202724597
2003-01-01,0.046449936233441305,-0.22039960144468312,0.5109586427338566
2003-02-01,-0.4890632952976759,-0.08386434493864758,-0.30894961399215465
2003-03-01,-0.86313260212732,0.3088509696587402,0.46788477397313716
2003-04-01,0.12609747026422474,-0.3192585598665727,0.13893628000683855
2003-05-01,0.3640950965961723,0.845736296923419,0.028704816425554197
2003-06-01,0.4290935580334132,0.0702725694375583,0.5633643084954038
2003-07-01,-0.48552926681928754,0.2818594418068055,-0.6413244625361199
2003-08-01,0.6125640032453293,-0.057118836951397564,-0.2700291502612683
2003-09-01,0.11814887253272101,0.06284872289674756,0.6119561366229105
2003-10-01,0.6475000346222874,0.38096200920300743,-1.0277431107320436
2003-11-01,-0.09129712204724288,-0.5417072093094756,0.4470173352654865
2003-12-01,0.07843004264394575,-0.11055130060766954,-0.18258480794579418
2004-01-01,0.10736263565889159,0.5009280010317972,-0.16651379047389547
2004-02-01,-0.8856243088311095,-1.171112268146429,0.751408005728373
2004-03-01,-0.06050873756743835,0.40141227953514125,-0.06676908839418827
2004-04-01,0.6573602990661229,0.11557076788286243,0.6332378942982604
2004-05-01,-0.5807579958567322,-0.20480962390986673,-0.03450708086214044
2004-06-01,0.3660784567601141,0.6655196651791639,0.5786384423169288
2004-07-01,-0.05403097649491215,-0.07614635979439294,-0.10612045023029437
2004-08-01,-0.1290774278641137,0.6136851171835578,-0.09519420848886662
2004-09-01,0.21847684057781158,-0.0351334123197134,-0.09112619950746731
2004-10-01,0.12473142598368057,0.5353630352546117,0.19759906363113075
2004-11-01,0.6749797974097088,-0.36769477285944496,-0.7583941941076734
2004-12-01,0.2581122909537611,-0.18733679608943787,-0.05039396127900847
2005-01-01,0.4983912439392161,-0.20741558034723584,-2.221198554588184
2005-02-01,-0.6559441002109183,-0.05584673203744828,0.9064972916909776
2005-03-01,-0.5109136549282423,-0.6861706259362663,0.8804024714215155
2005-04-01,-0.17689465824524314,-0.06755971527220017,0.2765368755667499
2005-05-01,0.32392941620279714,-1.941989244562913,-0.1225869536444994
2005-06-01,-0.2823890571988278,1.0232591379882812,-0.3699245074090756
2005-07-01,0.11072014658951951,0.9726201137927132,0.15252304242086331
2005-08-01,-1.9142733675814818,0.3183694384402284,0.03745665194853165
2005-09-01,1.1939190847602716,0.4305119318225353,-0.020382732876247575
2005-10-01,1.8691611695389807,0.09275645108253029,0.3808051127351972
2005-11-01,1.083605120271668,0.3475473861378746,-0.4673046916631347
2005-12-01,-0.29916397196421923,-0.2627276067828972,-0.07844289092235557
